state,capitals,nicknames
Alabama,Montgomery,Cotton State
Alaska,Juneau,The Last Frontier
Arizona,Phoenix,Grand Canyon State
Arkansas,Little Rock,Natural State
California,Sacramento,Golden State
Colorado,Denver,Centennial State
Connecticut,Hartford,Constitution State
Delaware,Dover,Diamond State
Florida,Tallahassee,Sunshine State
Georgia,Atlanta,Peach State
Hawaii,Honolulu,Aloha State
Idaho,Boise,Gem State
Illinois,Springfield,Land of Lincoln
Indiana,Indianapolis,Hoosier State
Iowa,Des Moines,Corn State
Kansas,Topeka,Sunflower State
Kentucky,Frankfort,Bluegrass State
Louisiana,Baton Rouge,Sugar State
Maine,Augusta,Pine Tree State
Maryland,Annapolis,Free State
Massachusetts,Boston,Bay State
Michigan,Lansing,Great Lake State
Minnesota,Saint Paul,Land of 10000 Lakes
Mississippi,Jackson,Magnolia State
Missouri,Jefferson City,Show Me state
Montana,Helena,Treasure State
Nebraska,Lincoln,Beef State
Nevada,Carson City,Silver State
New Hampshire,Concord,Granite State
New Jersey,Trenton,Garden State
New Mexico,Santa Fe,Land of Enchantment
New York,Albany,Empire State
North Carolina,Raleigh,Old North State
North Dakota,Bismarck,Peace Garden State
Ohio,Columbus,Buckeye State
Oklahoma,Oklahoma City,Sooner State
Oregon,Salem,Beaver State
Pennsylvania,Harrisburg,Keystone State
Rhode Island,Providence,Ocean State
South Carolina,Columbia,Palmetto State
South Dakota,Pierre,The Mount Rushmore State
Tennessee,Nashville,Volunteer State
Texas,Austin,Lone Star State
Utah,Salt Lake City,Beehive State
Vermont,Montpelier,Green Mountain State
Virginia,Richmond,The Old Dominion
Washington,Olympia,Evergreen State
West Virginia,Charleston,Mountain State
Wisconsin,Madison,America's Dairyland
Wyoming,Cheyenne,Equality State
